Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
2025-03-31 01:02:00,2025-03-31 01:02:00,414.0,-0.120000000000005,-0.000289771080846143,414.12,414.0,414.12,7.0
2025-03-31 01:03:00,2025-03-31 01:03:00,413.95,-0.0500000000000114,-0.000120772946859931,413.95,413.95,413.95,6.0
2025-03-31 01:05:00,2025-03-31 01:05:00,413.64,-0.310000000000002,-0.000748882715303786,413.59,413.59,413.64,2.0
2025-03-31 01:06:00,2025-03-31 01:06:00,413.54,-0.0999999999999659,-0.000241756116429663,413.54,413.54,413.54,12.0
2025-03-31 01:07:00,2025-03-31 01:07:00,413.61,0.0699999999999932,0.000169270203607857,413.61,413.61,413.61,200.0
2025-03-31 01:08:00,2025-03-31 01:08:00,413.74,0.129999999999995,0.000314305746959685,413.71,413.71,413.74,557.0
2025-03-31 01:10:00,2025-03-31 01:10:00,413.74,0.0,0.0,413.74,413.74,413.74,207.0
2025-03-31 01:12:00,2025-03-31 01:12:00,413.91,0.170000000000016,0.000410886063711548,413.76,413.76,413.93,1238.0
2025-03-31 01:13:00,2025-03-31 01:13:00,414.01,0.0999999999999659,0.000241598415114314,413.93,413.93,414.01,624.0
2025-03-31 01:14:00,2025-03-31 01:14:00,414.16,0.150000000000034,0.000362310089128364,413.99,413.99,414.16,646.0
2025-03-31 01:16:00,2025-03-31 01:16:00,414.15,-0.0100000000000477,-2.41452578714694e-05,414.15,414.15,414.15,43.0
2025-03-31 01:19:00,2025-03-31 01:19:00,414.26,0.110000000000014,0.000265604249668028,414.17,414.17,414.26,673.0
2025-03-31 01:20:00,2025-03-31 01:20:00,414.17,-0.089999999999975,-0.000217254864094952,414.17,414.17,414.17,200.0
2025-03-31 01:21:00,2025-03-31 01:21:00,413.96,-0.210000000000036,-0.000507038172731092,414.14,413.96,414.14,106.0
2025-03-31 01:22:00,2025-03-31 01:22:00,413.93,-0.0299999999999727,-7.24707701226513e-05,413.93,413.93,413.93,1.0
2025-03-31 01:23:00,2025-03-31 01:23:00,413.83,-0.100000000000023,-0.000241586741719669,413.83,413.83,413.83,100.0
2025-03-31 01:24:00,2025-03-31 01:24:00,413.76,-0.0699999999999932,-0.000169151583983745,413.76,413.76,413.76,40.0
2025-03-31 01:25:00,2025-03-31 01:25:00,413.73,-0.0299999999999727,-7.25058004639712e-05,413.73,413.73,413.73,296.0
2025-03-31 01:26:00,2025-03-31 01:26:00,413.64,-0.0900000000000318,-0.000217533173809083,413.64,413.64,413.64,4.0
2025-03-31 01:29:00,2025-03-31 01:29:00,413.68,0.0400000000000205,9.67024465719477e-05,413.75,413.68,413.79,82.0
2025-03-31 01:30:00,2025-03-31 01:30:00,413.59,-0.0900000000000318,-0.000217559466254186,413.59,413.59,413.59,20.0
2025-03-31 01:31:00,2025-03-31 01:31:00,413.65,0.0600000000000023,0.000145071205783511,413.76,413.65,413.76,8.0
2025-03-31 01:34:00,2025-03-31 01:34:00,413.78,0.129999999999995,0.000314275353559762,413.78,413.78,413.78,1.0
2025-03-31 01:35:00,2025-03-31 01:35:00,413.76,-0.0199999999999818,-4.83348639373141e-05,413.76,413.76,413.76,1.0
2025-03-31 01:36:00,2025-03-31 01:36:00,413.72,-0.0399999999999636,-9.66744006186282e-05,413.72,413.72,413.72,11.0
2025-03-31 01:38:00,2025-03-31 01:38:00,413.56,-0.160000000000025,-0.000386734989848267,413.56,413.56,413.56,40.0
2025-03-31 01:42:00,2025-03-31 01:42:00,413.56,0.0,0.0,413.6,413.56,413.6,60.0
